INCIDENT_TYPE,MONTH,YEAR,HUNDRED_BLOCK
Theft from Motor Vehicle,4,2014,17900 20TH AVE     
Break and Enter - Residence,4,2014,15400 96A AVE     
Fatal/Injury Collision,4,2014,12800 72ND AVE     
Shoplifting,4,2014,12400 88TH AVE     
Theft of Motor Vehicle,4,2014,13300 92ND AVE     
Fatal/Injury Collision,4,2014,15300 FRASER HWY     
Theft from Motor Vehicle,4,2014,7500 WILTSHIRE DR     
Shoplifting,4,2014,14600 104TH AVE     
Theft from Motor Vehicle,4,2014,2600 128TH ST     
Shoplifting,4,2014,7100 138TH ST     
Theft of Motor Vehicle,4,2014,10300 152ND ST     
Theft of Motor Vehicle,4,2014,10300 152ND ST     
Shoplifting,4,2014,12000 NORDEL WAY     
Theft from Motor Vehicle,4,2014,2900 KING GEORGE BLVD    
Theft of Motor Vehicle,4,2014,13700 96TH AVE     
Theft from Motor Vehicle,4,2014,17700 60TH AVE     
Shoplifting,4,2014,9000 152ND ST     
Theft from Motor Vehicle,4,2014,10700 140TH ST     
Theft from Motor Vehicle,4,2014,17500 59TH AVE     
Fatal/Injury Collision,4,2014,18800 56TH AVE     
Fatal/Injury Collision,4,2014,10200 KING GEORGE BLVD    
Break and Enter - Residence,4,2014,8100 140A ST     
Theft from Motor Vehicle,4,2014,9000 123A ST     
Fatal/Injury Collision,4,2014,10600 CITY PKWY     
Fatal/Injury Collision,4,2014,14500 83A AVE     
Theft from Motor Vehicle,4,2014,18600 62ND AVE     
Theft from Motor Vehicle,4,2014,3600 KING GEORGE BLVD    
Shoplifting,4,2014,8100 120TH ST     
Break and Enter - Residence,4,2014,2600 141ST ST     
Theft from Motor Vehicle,4,2014,2100 148TH ST     
Theft from Motor Vehicle,4,2014,2200 148TH ST     
Theft of Motor Vehicle,4,2014,9800 140TH ST     
Theft from Motor Vehicle,4,2014,12500 60A AVE     
Theft from Motor Vehicle,4,2014,12900 74TH AVE     
Theft of Motor Vehicle,4,2014,13800 103RD AVE     
Theft from Motor Vehicle,4,2014,18800 62ND AVE     
Fatal/Injury Collision,4,2014,13800 104TH AVE     
Shoplifting,4,2014,7300 KING GEORGE BLVD    
Theft from Motor Vehicle,4,2014,2700 192ND ST     
Theft of Motor Vehicle,4,2014,8500 152ND ST     
Theft from Motor Vehicle,4,2014,13700 96TH AVE     
Shoplifting,4,2014,7500 KING GEORGE BLVD    
Break and Enter - Residence,4,2014,12600 OCEAN CLIFF DR    
Break and Enter - Residence,4,2014,10100 141ST ST     
Fatal/Injury Collision,4,2014,15500 104TH AVE     
Shoplifting,4,2014,9000 152ND ST     
Theft from Motor Vehicle,4,2014,2600 128TH ST     
Theft from Motor Vehicle,4,2014,13400 71A AVE     
Theft from Motor Vehicle,4,2014,10800 125TH ST     
Theft from Motor Vehicle,4,2014,13300 102A AVE     
Theft from Motor Vehicle,4,2014,13700 88TH AVE     
Theft from Motor Vehicle,4,2014,15300 102A AVE     
Fatal/Injury Collision,4,2014,6500 192A ST     
Break and Enter - Residence,4,2014,15500 18TH AVE     
Shoplifting,4,2014,12000 NORDEL WAY     
Theft from Motor Vehicle,4,2014,6100 187A ST     
Theft from Motor Vehicle,4,2014,15300 FRASER HWY     
Theft of Motor Vehicle,4,2014,9500 PRINCE CHARLES BLVD    
Shoplifting,4,2014,10100 KING GEORGE BLVD    
Shoplifting,4,2014,12100 NORDEL WAY     
Shoplifting,4,2014,14600 104TH AVE     
Break and Enter - Residence,4,2014,16100 10TH AVE     
Shoplifting,4,2014,10200 KING GEORGE BLVD    
Theft from Motor Vehicle,4,2014,2200 160TH ST     
Break and Enter - Residence,4,2014,8400 141ST ST     
Break and Enter - Residence,4,2014,18100 73RD AVE     
Break and Enter - Business,4,2014,15300 101ST AVE     
Theft from Motor Vehicle,4,2014,15300 27A AVE     
Break and Enter - Residence,4,2014,9500 128TH ST     
Theft of Motor Vehicle,4,2014,17600 58A AVE     
Fatal/Injury Collision,4,2014,8500 120TH ST     
Break and Enter - Residence,4,2014,13900 FALKIRK DR     
Theft from Motor Vehicle,4,2014,6500 KING GEORGE BLVD    
Theft from Motor Vehicle,4,2014,6700 145B ST     
Theft from Motor Vehicle,4,2014,13700 CRESCENT RD     
Break and Enter - Business,4,2014,15900 FRASER HWY     
Fatal/Injury Collision,4,2014,13300 62ND AVE     
Theft of Motor Vehicle,4,2014,9800 168TH ST     
Shoplifting,4,2014,12700 110TH AVE     
Fatal/Injury Collision,4,2014,8500 148TH ST     
Theft from Motor Vehicle,4,2014,7900 152ND ST     
Break and Enter - Residence,4,2014,8800 GREENOCK PL     
Shoplifting,4,2014,10300 152ND ST     
Theft from Motor Vehicle,4,2014,12600 19TH AVE     
Break and Enter - Residence,4,2014,14200 62A AVE     
Theft of Motor Vehicle,4,2014,13500 BRYAN PL     
Fatal/Injury Collision,4,2014,16900 GREENBROOK DR     
Break and Enter - Residence,4,2014,13300 108TH AVE     
Theft from Motor Vehicle,4,2014,11900 98A AVE     
Shoplifting,4,2014,12400 88TH AVE     
Shoplifting,4,2014,7500 KING GEORGE BLVD    
Break and Enter - Business,4,2014,13300 105A AVE     
Theft from Motor Vehicle,4,2014,18600 FRASER HWY     
Break and Enter - Residence,4,2014,6500 144TH ST     
Shoplifting,4,2014,18600 FRASER HWY     
Theft from Motor Vehicle,4,2014,4600 KING GEORGE BLVD    
Break and Enter - Residence,4,2014,9800 140TH ST     
Theft of Motor Vehicle,4,2014,13400 81ST AVE     
Theft from Motor Vehicle,4,2014,10400 154TH ST     
Break and Enter - Residence,4,2014,6400 128TH ST     
Theft of Motor Vehicle,4,2014,9600 152ND ST     
Theft from Motor Vehicle,4,2014,5700 180TH ST     
Break and Enter - Residence,4,2014,2100 129TH ST     
Theft of Motor Vehicle,4,2014,12400 73A AVE     
Theft from Motor Vehicle,4,2014,10300 152ND ST     
Fatal/Injury Collision,4,2014,10600 151A ST     
Shoplifting,4,2014,10300 KING GEORGE BLVD    
Theft from Motor Vehicle,4,2014,13700 CRESCENT RD     
Theft from Motor Vehicle,4,2014,19100 70TH AVE     
Fatal/Injury Collision,4,2014,12200 KING GEORGE BLVD    
Theft from Motor Vehicle,4,2014,2500 192ND ST     
Theft of Motor Vehicle,4,2014,6000 189TH ST     
Theft from Motor Vehicle,4,2014,8600 143RD ST     
Shoplifting,4,2014,7500 KING GEORGE BLVD    
Fatal/Injury Collision,4,2014,19300 66TH AVE     
Theft of Motor Vehicle,4,2014,9600 120A ST     
Theft from Motor Vehicle,4,2014,13400 102ND AVE     
Theft from Motor Vehicle,4,2014,17700 58A AVE     
Break and Enter - Residence,4,2014,8200 KING GEORGE BLVD    
Break and Enter - Residence,4,2014,13900 70TH AVE     
Theft from Motor Vehicle,4,2014,12100 68TH AVE     
Shoplifting,4,2014,8500 132ND ST     
Break and Enter - Residence,4,2014,13400 CRESCENT RD     
Fatal/Injury Collision,4,2014,1700 152ND ST     
Theft from Motor Vehicle,4,2014,16600 84TH AVE     
Theft of Motor Vehicle,4,2014,12400 88TH AVE     
Theft from Motor Vehicle,4,2014,13800 77TH AVE     
Theft from Motor Vehicle,4,2014,12600 61B AVE     
Theft of Motor Vehicle,4,2014,9400 153RD ST     
Theft from Motor Vehicle,4,2014,13000 LINTON WAY     
Theft from Motor Vehicle,4,2014,12700 110TH AVE     
Theft of Motor Vehicle,4,2014,9600 134TH ST     
Theft from Motor Vehicle,4,2014,13300 102A AVE     
Theft from Motor Vehicle,4,2014,2300 KING GEORGE BLVD    
Break and Enter - Residence,4,2014,13400 64TH AVE     
Theft from Motor Vehicle,4,2014,13300 97TH AVE     
Theft from Motor Vehicle,4,2014,17900 20TH AVE     
Shoplifting,4,2014,14600 104TH AVE     
Fatal/Injury Collision,4,2014,17100 0TH AVE     
Break and Enter - Residence,4,2014,10700 GUILDFORD DR     
Shoplifting,4,2014,2300 160TH ST     
Theft of Motor Vehicle,4,2014,9900 151ST ST     
Theft of Motor Vehicle,4,2014,7100 130TH ST     
Shoplifting,4,2014,14600 104TH AVE     
Break and Enter - Business,4,2014,9900 KING GEORGE BLVD    
Theft from Motor Vehicle,4,2014,11000 132ND ST     
Shoplifting,4,2014,10300 152ND ST     
Theft of Motor Vehicle,4,2014,12500 97TH AVE     
Theft from Motor Vehicle,4,2014,13500 GATEWAY DR     
Theft from Motor Vehicle,4,2014,9000 137A ST     
Theft from Motor Vehicle,4,2014,17700 64TH AVE     
Shoplifting,4,2014,14700 108TH AVE     
Theft from Motor Vehicle,4,2014,5600 KILMORE CRES E    
Fatal/Injury Collision,4,2014,14400 72ND AVE     
Theft of Motor Vehicle,4,2014,6500 124A ST     
Break and Enter - Residence,4,2014,12700 76TH AVE     
Theft from Motor Vehicle,4,2014,2700 158TH ST     
Break and Enter - Residence,4,2014,6400 142ND ST     
Break and Enter - Residence,4,2014,10400 148TH ST     
Break and Enter - Residence,4,2014,11300 LANSDOWNE DR     
Break and Enter - Residence,4,2014,1500 128A ST     
Theft from Motor Vehicle,4,2014,13000 67A AVE     
Shoplifting,4,2014,1700 152ND ST     
Theft from Motor Vehicle,4,2014,18300 8TH AVE     
Theft from Motor Vehicle,4,2014,9200 PRINCE CHARLES BLVD    
Fatal/Injury Collision,4,2014, 100A AVE / 141ST ST   
Fatal/Injury Collision,4,2014, 56TH AVE / 175TH ST   
Fatal/Injury Collision,4,2014, 88TH AVE / KING GEORGE BLVD  
Theft from Motor Vehicle,4,2014, 194TH ST / 28TH AVE   
Theft from Motor Vehicle,4,2014, 18TH AVE / 154TH ST   
Theft from Motor Vehicle,4,2014, 153RD ST / 102A AVE   
Fatal/Injury Collision,4,2014, 97TH AVE / 123RD ST   
Fatal/Injury Collision,4,2014, 64TH AVE / 177B ST   
Fatal/Injury Collision,4,2014, 131A ST / COLEBROOK RD   
Theft of Motor Vehicle,4,2014, 102A AVE / 154TH ST   
Theft from Motor Vehicle,4,2014, 145TH ST / 74TH AVE   
Fatal/Injury Collision,4,2014, 146TH ST / 108TH AVE   
Theft of Motor Vehicle,4,2014, 55TH AVE / 124TH ST   
Theft of Motor Vehicle,4,2014, 76TH AVE / 132ND ST   
Fatal/Injury Collision,4,2014, 88TH AVE / 156TH ST   
Fatal/Injury Collision,4,2014, 88TH AVE / KING GEORGE BLVD  
Theft from Motor Vehicle,4,2014, 145A ST / 61A AVE   
Fatal/Injury Collision,4,2014, 64TH AVE / 177B ST   
Fatal/Injury Collision,4,2014, 128TH ST / PRINCE CHARLES BLVD  
Fatal/Injury Collision,4,2014, 143RD ST / 84TH AVE   
Fatal/Injury Collision,4,2014, 92ND AVE / KING GEORGE BLVD  
Theft from Motor Vehicle,4,2014, OLD YALE RD / SCOTT RD  
Fatal/Injury Collision,4,2014, 128TH ST / 88TH AVE   
Theft of Motor Vehicle,4,2014, 146TH ST / 60TH AVE   
Theft from Motor Vehicle,4,2014, 140TH ST / 79A AVE   
Fatal/Injury Collision,4,2014, GROSVENOR RD / LARNER RD   
Fatal/Injury Collision,4,2014, 108TH AVE / UNIVERSITY DR   
Theft from Motor Vehicle,4,2014, OLD YALE RD / SCOTT RD  
Fatal/Injury Collision,4,2014, 96TH AVE / 160TH ST   
Fatal/Injury Collision,4,2014, 168TH ST / 56TH AVE   
Fatal/Injury Collision,4,2014, 152ND ST / COLEBROOK RD   
Fatal/Injury Collision,4,2014, 100TH AVE / 132ND ST   
Fatal/Injury Collision,4,2014, FRASER HWY / 168TH ST   
Fatal/Injury Collision,4,2014, 72ND AVE / 124TH ST   
Fatal/Injury Collision,4,2014, 128TH ST / 88TH AVE   
Fatal/Injury Collision,4,2014, 133RD ST / 92ND AVE   
Fatal/Injury Collision,4,2014, 64TH AVE / 173A ST   
Fatal/Injury Collision,4,2014, 103A AVE / SCOTT RD   
Fatal/Injury Collision,4,2014, 72ND AVE / 140TH ST   
Break and Enter - Business,4,2014, 56TH AVE / 192ND ST   
Theft from Motor Vehicle,4,2014, 67A AVE / 131ST ST   
Fatal/Injury Collision,4,2014, 148TH ST / 108TH AVE   
Fatal/Injury Collision,4,2014, FRASER HWY / 168TH ST   
Fatal/Injury Collision,4,2014, 152ND ST / 56TH AVE   
Fatal/Injury Collision,4,2014, 88TH AVE / LAUDER DR   
Theft of Motor Vehicle,4,2014, 74TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 66TH AVE / 168TH ST   
Fatal/Injury Collision,4,2014, 168TH ST / 80TH AVE   
Theft from Motor Vehicle,4,2014, 96TH AVE / 137TH ST   
Fatal/Injury Collision,4,2014, 148TH ST / 96TH AVE   
Fatal/Injury Collision,4,2014, 137TH ST / 72A AVE   
Theft from Motor Vehicle,4,2014, 172ND ST / 65TH AVE   
Fatal/Injury Collision,4,2014, 56TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 125A ST / COLEBROOK RD   
Fatal/Injury Collision,4,2014, 128TH ST / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 132ND ST / 68TH AVE   
Fatal/Injury Collision,4,2014, 138TH ST / 96TH AVE   
Fatal/Injury Collision,4,2014, 146TH ST / 76TH AVE   
Fatal/Injury Collision,4,2014, UNIVERSITY DR / 102ND AVE   
Fatal/Injury Collision,4,2014, 92ND AVE / 140TH ST   
Fatal/Injury Collision,4,2014, 128TH ST / 62ND AVE   
Fatal/Injury Collision,4,2014, 124TH ST / 70A AVE   
Theft from Motor Vehicle,4,2014, 194TH ST / 65TH AVE   
Theft from Motor Vehicle,4,2014, 192ND ST / 94TH AVE   
Fatal/Injury Collision,4,2014, 104TH AVE / 140TH ST   
Fatal/Injury Collision,4,2014, 104TH AVE / 140TH ST   
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / 102ND AVE  
Fatal/Injury Collision,4,2014, 128TH ST / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 128TH ST / 80TH AVE   
Theft from Motor Vehicle,4,2014, 137TH ST / 96TH AVE   
Fatal/Injury Collision,4,2014, 140TH ST / 88TH AVE   
Fatal/Injury Collision,4,2014, FRASER HWY / FLEETWOOD WAY   
Theft from Motor Vehicle,4,2014, 152ND ST / 20TH AVE   
Fatal/Injury Collision,4,2014, 176TH ST / SOUTH FRASER PERIMETER RD 
Fatal/Injury Collision,4,2014, 56TH AVE / 182ND ST   
Theft from Motor Vehicle,4,2014, 121A ST / 99TH AVE   
Theft from Motor Vehicle,4,2014, 98A AVE / 150TH ST   
Fatal/Injury Collision,4,2014, 88TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 140TH ST / 90TH AVE   
Fatal/Injury Collision,4,2014, 194TH ST / 64TH AVE   
Theft from Motor Vehicle,4,2014, 145B ST / 61ST AVE   
Theft from Motor Vehicle,4,2014, OHARA LANE / TARGET ST   
Theft from Motor Vehicle,4,2014, 146TH ST / 104TH AVE   
Theft of Motor Vehicle,4,2014, 131A ST / 73RD AVE   
Fatal/Injury Collision,4,2014, 55TH AVE / 180TH ST   
Fatal/Injury Collision,4,2014, 124TH ST / 82A AVE   
Fatal/Injury Collision,4,2014, 132ND ST / 67TH AVE   
Fatal/Injury Collision,4,2014, 88TH AVE / 152ND ST   
Fatal/Injury Collision,4,2014, 80TH AVE / 123A ST   
Theft from Motor Vehicle,4,2014, FRASER HWY / 154TH ST   
Fatal/Injury Collision,4,2014, 128TH ST / 100TH AVE   
Fatal/Injury Collision,4,2014, 101ST AVE / 152ND ST   
Theft from Motor Vehicle,4,2014, 144TH ST / 76TH AVE   
Theft from Motor Vehicle,4,2014, 192ND ST / 56TH AVE   
Fatal/Injury Collision,4,2014, 78TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 96TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 96TH AVE / 140TH ST   
Fatal/Injury Collision,4,2014, 75A AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 176TH ST / 68A AVE   
Fatal/Injury Collision,4,2014, 103A AVE / SCOTT RD   
Fatal/Injury Collision,4,2014, 86TH AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 192ND ST / 96TH AVE   
Theft of Motor Vehicle,4,2014, 64TH AVE / 152ND ST   
Fatal/Injury Collision,4,2014, OLD YALE RD / SOUTH FRASER PERIMETER RD
Theft from Motor Vehicle,4,2014, 90TH AVE / 161ST ST   
Theft from Motor Vehicle,4,2014, FRASER HWY / 152ND ST   
Fatal/Injury Collision,4,2014, 176TH ST / FRASER HWY   
Fatal/Injury Collision,4,2014, 130TH ST / 80TH AVE   
Fatal/Injury Collision,4,2014, 128TH ST / 96TH AVE   
Theft from Motor Vehicle,4,2014, FRASER HWY / 166TH ST   
Fatal/Injury Collision,4,2014, 88TH AVE / FRASER HWY   
Fatal/Injury Collision,4,2014, 78TH AVE / KING GEORGE BLVD  
Theft from Motor Vehicle,4,2014, 110A AVE / BENTLEY RD   
Theft of Motor Vehicle,4,2014, 138TH ST / 107A AVE   
Theft from Motor Vehicle,4,2014, 104TH AVE / 176TH ST   
Fatal/Injury Collision,4,2014, COLEBROOK RD / 164TH ST   
Fatal/Injury Collision,4,2014, 104TH AVE / KING GEORGE BLVD  
Theft from Motor Vehicle,4,2014, 76TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 176TH ST / 62ND AVE   
Theft from Motor Vehicle,4,2014, 96TH AVE / 138TH ST   
Fatal/Injury Collision,4,2014, 132ND ST / 60TH AVE   
Theft from Motor Vehicle,4,2014, 81ST AVE / 132ND ST   
Fatal/Injury Collision,4,2014, 98TH AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 152ND ST / 84TH AVE   
Theft from Motor Vehicle,4,2014, 139A ST / 89A AVE   
Fatal/Injury Collision,4,2014, 124TH ST / 94A AVE   
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / 128TH ST  
Fatal/Injury Collision,4,2014, 152ND ST / 56TH AVE   
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / 96TH AVE  
Theft of Motor Vehicle,4,2014, 161ST ST / 82ND AVE   
Fatal/Injury Collision,4,2014, 104A AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 88TH AVE / FRASER HWY   
Fatal/Injury Collision,4,2014, 176TH ST / 56TH AVE   
Fatal/Injury Collision,4,2014, UNIVERSITY DR / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / 96TH AVE  
Fatal/Injury Collision,4,2014, 176TH ST / 56TH AVE   
Theft from Motor Vehicle,4,2014, 122ND ST / 76TH AVE   
Fatal/Injury Collision,4,2014, 128TH ST / 78TH AVE   
Fatal/Injury Collision,4,2014, 57TH AVE / 177B ST   
Fatal/Injury Collision,4,2014, 156A ST / 33A AVE   
Theft from Motor Vehicle,4,2014, 193B ST / 62A AVE   
Fatal/Injury Collision,4,2014, 128TH ST / 97TH AVE   
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / 72ND AVE  
Fatal/Injury Collision,4,2014, 128TH ST / 68TH AVE   
Fatal/Injury Collision,4,2014, 90TH AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 102ND AVE / 177TH ST   
Theft from Motor Vehicle,4,2014, 128TH ST / 63RD AVE   
Theft from Motor Vehicle,4,2014, 158TH ST / 27TH AVE   
Fatal/Injury Collision,4,2014, 20TH AVE / 154TH ST   
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / 104TH AVE  
Fatal/Injury Collision,4,2014, 104TH AVE / 150TH ST   
Fatal/Injury Collision,4,2014, 58TH AVE / KING GEORGE BLVD  
Theft of Motor Vehicle,4,2014, 132ND ST / 68TH AVE   
Fatal/Injury Collision,4,2014, 115TH AVE / 131ST ST   
Fatal/Injury Collision,4,2014, 152ND ST / 108TH AVE   
Fatal/Injury Collision,4,2014, FRASER HWY / 194TH ST   
Fatal/Injury Collision,4,2014, 128TH ST / 80TH AVE   
Fatal/Injury Collision,4,2014, 168TH ST / FRASER HWY   
Theft from Motor Vehicle,4,2014, 128TH ST / 86TH AVE   
Fatal/Injury Collision,4,2014, 82ND AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 177B ST / 57TH AVE   
Fatal/Injury Collision,4,2014, 96TH AVE / 128TH ST   
Fatal/Injury Collision,4,2014, 120TH ST / 72ND AVE   
Fatal/Injury Collision,4,2014, 150TH ST / 72ND AVE   
Fatal/Injury Collision,4,2014, 64TH AVE / 144TH ST   
Fatal/Injury Collision,4,2014, 92ND AVE / 152ND ST   
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / 74TH AVE  
Fatal/Injury Collision,4,2014, 108TH AVE / 132ND ST   
Fatal/Injury Collision,4,2014, 76TH AVE / KING GEORGE BLVD  
Theft from Motor Vehicle,4,2014, 40TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 120TH ST / 68TH AVE   
Fatal/Injury Collision,4,2014, 138TH ST / 68TH AVE   
Fatal/Injury Collision,4,2014, 144TH ST / 66TH AVE   
Fatal/Injury Collision,4,2014, 102ND AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 160TH ST / 96TH AVE   
Fatal/Injury Collision,4,2014, FRASER HWY / 184TH ST   
Fatal/Injury Collision,4,2014, 88TH AVE / 152ND ST   
Fatal/Injury Collision,4,2014, 128TH ST / 72ND AVE   
Fatal/Injury Collision,4,2014, 60TH AVE / 184TH ST   
Fatal/Injury Collision,4,2014, 148TH ST / 64TH AVE   
Fatal/Injury Collision,4,2014, 154A ST / 84TH AVE   
Fatal/Injury Collision,4,2014, 68TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / BOLIVAR CRES  
Fatal/Injury Collision,4,2014, 64TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 176TH ST / 40TH AVE   
Fatal/Injury Collision,4,2014, 184TH ST / 60TH AVE   
Theft from Motor Vehicle,4,2014, 108TH AVE / UNIVERSITY DR   
Fatal/Injury Collision,4,2014, 192ND ST / 36TH AVE   
Theft of Motor Vehicle,4,2014, 148TH ST / 66TH AVE   
Fatal/Injury Collision,4,2014, 20TH AVE / 152ND ST   
Fatal/Injury Collision,4,2014, 76TH AVE / 128TH ST   
Fatal/Injury Collision,4,2014, 88TH AVE / 134A ST   
Fatal/Injury Collision,4,2014, 24TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 100TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 128TH ST / 64TH AVE   
Fatal/Injury Collision,4,2014, 96TH AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 176TH ST / 96TH AVE   
Fatal/Injury Collision,4,2014, 132ND ST / 100TH AVE   
Fatal/Injury Collision,4,2014, 168TH ST / 80TH AVE   
Fatal/Injury Collision,4,2014, 132ND ST / 88TH AVE   
Fatal/Injury Collision,4,2014, 78TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 108TH AVE / 144TH ST   
Fatal/Injury Collision,4,2014, 168TH ST / 40TH AVE   
Fatal/Injury Collision,4,2014, 192ND ST / 32ND AVE   
Fatal/Injury Collision,4,2014, 152ND ST / 108TH AVE   
Fatal/Injury Collision,4,2014, 123RD ST / 72ND AVE   
Fatal/Injury Collision,4,2014, 80TH AVE / 176TH ST   
Theft of Motor Vehicle,4,2014, 110TH AVE / 125TH ST   
Fatal/Injury Collision,4,2014, 168TH ST / 57A AVE   
Fatal/Injury Collision,4,2014, 96TH AVE / 176TH ST   
Fatal/Injury Collision,4,2014, FRASER HWY / 88TH AVE   
Fatal/Injury Collision,4,2014, 101ST AVE / 150TH ST   
Fatal/Injury Collision,4,2014, 153RD ST / 104TH AVE   
Fatal/Injury Collision,4,2014, FRASER HWY / 160TH ST   
Fatal/Injury Collision,4,2014, 104TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 152ND ST / 96TH AVE   
Fatal/Injury Collision,4,2014, 140B ST / 104TH AVE   
Theft from Motor Vehicle,4,2014, FRASER HWY / 152ND ST   
Fatal/Injury Collision,4,2014, 130A ST / 60TH AVE   
Theft from Motor Vehicle,4,2014, KING GEORGE BLVD / 97A AVE  
Theft from Motor Vehicle,4,2014, 64A AVE / 172ND ST   
Fatal/Injury Collision,4,2014, 32ND AVE / 168TH ST   
Shoplifting,4,2014, 104TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 108TH AVE / CITY PKWY   
Theft from Motor Vehicle,4,2014, 28TH AVE / 192ND ST   
Fatal/Injury Collision,4,2014, 121A ST / 75TH AVE   
Fatal/Injury Collision,4,2014, 56TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 128TH ST / 80TH AVE   
Fatal/Injury Collision,4,2014, SCOTT RD / 104TH AVE   
Fatal/Injury Collision,4,2014, 87TH AVE / 130TH ST   
Fatal/Injury Collision,4,2014, 123A ST / 96TH AVE   
Theft from Motor Vehicle,4,2014, 108TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 86TH AVE / 128TH ST   
Theft from Motor Vehicle,4,2014, ROSEMARY HEIGHTS CRES / 154TH ST  
Fatal/Injury Collision,4,2014, 124TH ST / 80A AVE   
Fatal/Injury Collision,4,2014, FRASER HWY / 96TH AVE   
Fatal/Injury Collision,4,2014, 132ND ST / 80TH AVE   
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / COLEBROOK RD  
Fatal/Injury Collision,4,2014, 88TH AVE / 152ND ST   
Theft from Motor Vehicle,4,2014, 128TH ST / 86TH AVE   
Theft from Motor Vehicle,4,2014, 152ND ST / 88TH AVE   
Fatal/Injury Collision,4,2014, 88TH AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 128TH ST / 86TH AVE   
Fatal/Injury Collision,4,2014, 88TH AVE / 140TH ST   
Fatal/Injury Collision,4,2014, 108TH AVE / 160TH ST   
Fatal/Injury Collision,4,2014, 72A AVE / 138TH ST   
Fatal/Injury Collision,4,2014, 144TH ST / 24TH AVE   
Theft of Motor Vehicle,4,2014, 107A AVE / 138TH ST   
Fatal/Injury Collision,4,2014, 16TH AVE / 168TH ST   
Fatal/Injury Collision,4,2014, 132ND ST / OLD YALE RD  
Fatal/Injury Collision,4,2014, 72ND AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 161ST ST / 93A AVE   
Fatal/Injury Collision,4,2014, 137TH ST / 72ND AVE   
Fatal/Injury Collision,4,2014, 80TH AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 160TH ST / 103RD AVE   
Fatal/Injury Collision,4,2014, 96TH AVE / 120TH ST   
Fatal/Injury Collision,4,2014, 152ND ST / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 140TH ST / FRASER HWY   
Fatal/Injury Collision,4,2014, KING GEORGE BLVD / 20TH AVE  
Fatal/Injury Collision,4,2014, 100TH AVE / 152ND ST   
Fatal/Injury Collision,4,2014, 168TH ST / 56TH AVE   
Fatal/Injury Collision,4,2014, 142ND ST / 72ND AVE   
Fatal/Injury Collision,4,2014, 132ND ST / 76TH AVE   
Fatal/Injury Collision,4,2014, 32ND AVE / 168TH ST   
Shoplifting,4,2014, 164TH ST / 108TH AVE   
Fatal/Injury Collision,4,2014, 100TH AVE / WHALLEY BLVD   
Fatal/Injury Collision,4,2014, 88TH AVE / 140TH ST   
Fatal/Injury Collision,4,2014, LAUDER DR / 88TH AVE   
Shoplifting,4,2014, 102ND AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 88TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 152ND ST / 72ND AVE   
Fatal/Injury Collision,4,2014, 56TH AVE / 188TH ST   
Fatal/Injury Collision,4,2014, 88TH AVE / KING GEORGE BLVD  
Fatal/Injury Collision,4,2014, 64TH AVE / 132ND ST   
Fatal/Injury Collision,4,2014, 188TH ST / 56TH AVE   
